car_name,brand,year,mileage_km,location,transmission,fuel_type,engine_size_cc,condition,service_history,accident_history,color,owner_count,price_rp,instalment_rp_monthly
Suzuki XL7,Suzuki,2012,155600,Jakarta Selatan,Automatic,Petrol,2000,Fair,Full Service Record,Never,Black,1,70000000,1435000
Hyundai Ioniq,Hyundai,2023,65897,Depok,Automatic,Petrol,2000,Excellent,Partial Service Record,Unknown,Silver,1,251159755,5148774
Mitsubishi Xpander,Mitsubishi,2020,86531,Semarang,Automatic,Diesel,1500,Fair,Partial Service Record,Never,Gray,1,205218754,4206984
Daihatsu Xenia,Daihatsu,2021,54334,Padang,Automatic,Petrol,1000,Excellent,Full Service Record,Never,White,1,118090324,2420851
Daihatsu Terios,Daihatsu,2014,124453,Bogor,Automatic,Petrol,1800,Excellent,Full Service Record,Minor Accident,Blue,1,79264991,1624932
Daihatsu Xenia,Daihatsu,2011,166815,Makassar,Automatic,Petrol,1300,Excellent,Partial Service Record,Unknown,Red,1,70000000,1435000
Daihatsu Sigra,Daihatsu,2013,134174,Jakarta Selatan,Automatic,Petrol,1300,Excellent,Full Service Record,Never,Blue,1,95425281,1956218
Toyota Rush,Toyota,2012,205568,Jakarta Barat,Manual,Petrol,1000,Excellent,Full Service Record,Never,White,1,112272874,2301593
Suzuki Baleno,Suzuki,2016,122959,Jakarta Barat,Automatic,Petrol,2000,Good,Full Service Record,Unknown,Red,1,126193560,2586967
Mazda CX-5,Mazda,2021,80703,Jakarta Utara,Automatic,Petrol,2400,Excellent,Partial Service Record,Minor Accident,White,1,300875670,6167951
Honda CR-V,Honda,2023,13187,Jakarta Selatan,Automatic,Petrol,1000,Excellent,Full Service Record,Never,Black,2,218278428,4474707
Honda City,Honda,2022,51258,Jakarta Selatan,Automatic,Hybrid,1000,Excellent,Unknown,Unknown,White,2,242022423,4961459
Honda Brio,Honda,2024,45201,Surabaya,Manual,Hybrid,1500,Excellent,Partial Service Record,Minor Accident,Red,2,244434638,5010910
Daihatsu Xenia,Daihatsu,2022,41969,Jakarta Selatan,Automatic,Petrol,1800,Good,Partial Service Record,Unknown,Black,2,127522059,2614202
Honda CR-V,Honda,2024,42560,Tangerang,Automatic,Hybrid,1300,Good,Full Service Record,Never,Gray,2,253660445,5200039
Mitsubishi Outlander,Mitsubishi,2022,28477,Depok,Automatic,Diesel,1300,Good,Partial Service Record,Never,White,2,261447847,5359680
Nissan X-Trail,Nissan,2012,143457,Tangerang,Automatic,Petrol,2400,Good,Full Service Record,Never,Red,1,104874525,2149927
Toyota Calya,Toyota,2019,90829,Jakarta Utara,Manual,Petrol,2000,Excellent,Full Service Record,Never,Gray,3,188535379,3864975
Suzuki Ertiga,Suzuki,2012,161174,Makassar,Automatic,Hybrid,2400,Excellent,Partial Service Record,Never,White,1,104478268,2141804
Toyota Yaris,Toyota,2017,119556,Bogor,Automatic,Hybrid,2400,Excellent,Full Service Record,Never,Red,2,228573997,4685766
Suzuki XL7,Suzuki,2019,48398,Pekanbaru,Automatic,Petrol,1300,Excellent,Full Service Record,Minor Accident,Gray,1,131198840,2689576
Daihatsu Ayla,Daihatsu,2015,144820,Depok,Automatic,Petrol,1000,Good,Full Service Record,Never,Black,1,70000000,1435000
Suzuki Ertiga,Suzuki,2024,70769,Padang,Manual,Petrol,1300,Fair,Unknown,Never,Red,1,139511376,2859983
Daihatsu Ayla,Daihatsu,2024,23556,Bogor,Automatic,Petrol,1000,Excellent,Unknown,Unknown,Red,2,148445266,3043127
Mazda Mazda2,Mazda,2021,60614,Semarang,Automatic,Petrol,2400,Excellent,Partial Service Record,Never,Blue,1,294635106,6040019
Hyundai Ioniq,Hyundai,2021,63231,Surabaya,Automatic,Petrol,1800,Good,Unknown,Minor Accident,Gray,1,227127570,4656115
Mazda Mazda3,Mazda,2018,62484,Surabaya,Automatic,Petrol,2400,Good,Partial Service Record,Never,Silver,2,248725950,5098881
Toyota Agya,Toyota,2015,139670,Padang,Automatic,Diesel,2000,Excellent,Partial Service Record,Unknown,Gray,2,187106079,3835674
Hyundai Creta,Hyundai,2020,43102,Makassar,Automatic,Electric,1500,Excellent,Full Service Record,Never,Blue,1,284559022,5833459
Suzuki XL7,Suzuki,2015,124301,Bekasi,Automatic,Petrol,2400,Good,Partial Service Record,Never,Black,1,142392401,2919044
Hyundai Ioniq,Hyundai,2020,94371,Bekasi,Automatic,Electric,1800,Fair,Unknown,Never,Blue,3,239361311,4906906
Honda CR-V,Honda,2014,130766,Surabaya,Automatic,Petrol,1000,Fair,Partial Service Record,Unknown,Black,3,125909106,2581136
Mitsubishi Outlander,Mitsubishi,2013,165022,Jakarta Selatan,Manual,Diesel,1200,Fair,Full Service Record,Never,Black,1,144273647,2957609
Nissan March,Nissan,2012,186229,Jakarta Utara,Automatic,Petrol,1000,Excellent,Unknown,Never,Red,3,76594741,1570192
Mitsubishi Pajero,Mitsubishi,2025,17017,Jakarta Selatan,Automatic,Diesel,1500,Good,Unknown,Never,Red,2,278740876,5714187
Daihatsu Terios,Daihatsu,2017,83322,Surabaya,Automatic,Petrol,1000,Excellent,Full Service Record,Never,Blue,2,95476822,1957274
Nissan March,Nissan,2016,114015,Makassar,Automatic,Petrol,2000,Excellent,Unknown,Never,Silver,2,163382721,3349345
Nissan March,Nissan,2022,83269,Surabaya,Automatic,Petrol,1500,Good,Partial Service Record,Never,Silver,2,172485729,3535957
Hyundai Ioniq,Hyundai,2016,83549,Jakarta Barat,Automatic,Petrol,1500,Good,Unknown,Never,Red,2,170703193,3499415
Mitsubishi Pajero,Mitsubishi,2012,163035,Jakarta Barat,Manual,Diesel,1500,Excellent,Full Service Record,Never,Blue,2,156087955,3199803
Hyundai Creta,Hyundai,2025,4000,Jakarta Utara,Automatic,Petrol,1500,Good,Full Service Record,Unknown,White,3,263790026,5407695
Daihatsu Ayla,Daihatsu,2021,62173,Surabaya,Automatic,Petrol,1800,Good,Full Service Record,Minor Accident,White,1,122540013,2512070
Daihatsu Terios,Daihatsu,2011,193467,Makassar,Manual,Petrol,1200,Good,Full Service Record,Never,Red,2,70000000,1435000
Honda CR-V,Honda,2013,184956,Pekanbaru,Automatic,Hybrid,2400,Good,Full Service Record,Never,Blue,1,193335488,3963377
Suzuki XL7,Suzuki,2019,79135,Jakarta Utara,Automatic,Petrol,2400,Fair,Full Service Record,Minor Accident,Gray,2,116080436,2379648
Hyundai Stargazer,Hyundai,2022,62622,Makassar,Automatic,Electric,1000,Excellent,Full Service Record,Never,Black,1,293362260,6013926
Honda Mobilio,Honda,2019,92995,Makassar,Manual,Hybrid,1300,Good,Unknown,Never,Black,2,202394140,4149079
Hyundai Ioniq,Hyundai,2018,104538,Bandung,Automatic,Electric,1300,Fair,Unknown,Never,Silver,1,213501083,4376772
Nissan X-Trail,Nissan,2014,133849,Depok,Automatic,Petrol,1200,Good,Partial Service Record,Unknown,Blue,2,114345540,2344083
Nissan X-Trail,Nissan,2011,162048,Makassar,Automatic,Petrol,1300,Excellent,Full Service Record,Never,White,1,70000000,1435000
Daihatsu Ayla,Daihatsu,2016,100199,Padang,Automatic,Petrol,1300,Good,Unknown,Never,White,1,74669542,1530725
Mitsubishi Xpander,Mitsubishi,2023,22384,Semarang,Automatic,Petrol,1300,Excellent,Full Service Record,Minor Accident,White,1,275323860,5644139
Honda CR-V,Honda,2017,113790,Surabaya,Manual,Petrol,1000,Fair,Full Service Record,Never,Red,1,118410390,2427412
Nissan Livina,Nissan,2020,85697,Surabaya,Automatic,Petrol,1800,Excellent,Full Service Record,Never,Silver,1,177916727,3647292
Hyundai Creta,Hyundai,2023,41822,Tangerang,Manual,Electric,1800,Excellent,Full Service Record,Never,Red,3,313014523,6416797
Nissan Livina,Nissan,2024,14118,Jakarta Selatan,Automatic,Petrol,2000,Excellent,Full Service Record,Never,Gray,2,230532019,4725906
Honda Jazz,Honda,2014,176507,Pekanbaru,Manual,Petrol,1500,Excellent,Full Service Record,Unknown,Black,3,152334550,3122858
Daihatsu Xenia,Daihatsu,2021,87339,Makassar,Manual,Petrol,2000,Good,Unknown,Unknown,Gray,1,107878214,2211503
Honda City,Honda,2020,65627,Tangerang,Automatic,Hybrid,2400,Excellent,Full Service Record,Never,Red,2,245318663,5029032
Mazda Mazda2,Mazda,2011,165178,Jakarta Selatan,Automatic,Petrol,2000,Good,Full Service Record,Never,Silver,2,181262158,3715874
Hyundai Ioniq,Hyundai,2011,182343,Medan,Automatic,Electric,2400,Excellent,Full Service Record,Never,White,2,222104618,4553144
Nissan March,Nissan,2020,94811,Bandung,Automatic,Petrol,1500,Good,Partial Service Record,Unknown,Silver,1,157531723,3229400
Hyundai Creta,Hyundai,2023,41989,Makassar,Automatic,Petrol,1800,Good,Partial Service Record,Never,Black,1,241138700,4943343
Mitsubishi Xpander,Mitsubishi,2015,142017,Jakarta Barat,Automatic,Petrol,1800,Excellent,Full Service Record,Never,Silver,3,213158955,4369758
Nissan X-Trail,Nissan,2024,20182,Medan,Automatic,Petrol,1000,Good,Partial Service Record,Never,Silver,2,177454026,3637807
Suzuki Karimun,Suzuki,2018,104212,Semarang,Manual,Petrol,1300,Fair,Full Service Record,Never,Red,1,77299845,1584646
Nissan X-Trail,Nissan,2016,147801,Medan,Manual,Petrol,1300,Excellent,Full Service Record,Never,Silver,2,116719826,2392756
Mitsubishi Xpander,Mitsubishi,2016,115685,Depok,Manual,Petrol,1500,Fair,Full Service Record,Never,Gray,1,165141923,3385409
Hyundai Creta,Hyundai,2012,170579,Bogor,Manual,Electric,1800,Excellent,Full Service Record,Minor Accident,Gray,1,187431383,3842343
Hyundai Ioniq,Hyundai,2016,124568,Jakarta Selatan,Automatic,Electric,1000,Good,Partial Service Record,Never,Gray,1,220952742,4529531
Mazda Mazda3,Mazda,2020,77107,Bandung,Automatic,Petrol,1500,Excellent,Partial Service Record,Never,Black,1,259220160,5314013
Suzuki XL7,Suzuki,2019,58586,Padang,Automatic,Petrol,1200,Good,Full Service Record,Never,Black,3,118502175,2429294
Honda CR-V,Honda,2018,62216,Bogor,Automatic,Petrol,1000,Excellent,Partial Service Record,Minor Accident,Blue,2,183416236,3760032
Nissan X-Trail,Nissan,2015,113646,Pekanbaru,Automatic,Petrol,2400,Excellent,Full Service Record,Minor Accident,Gray,2,133999810,2746996
Honda CR-V,Honda,2012,171022,Bekasi,Automatic,Petrol,1800,Excellent,Unknown,Never,Blue,1,105408674,2160877
Mitsubishi Pajero,Mitsubishi,2017,117969,Padang,Automatic,Petrol,1800,Good,Partial Service Record,Never,Silver,1,210314105,4311439
Nissan March,Nissan,2025,4000,Tangerang,Automatic,Petrol,1300,Good,Full Service Record,Never,Gray,1,188975200,3873991
Suzuki XL7,Suzuki,2018,120790,Pekanbaru,Automatic,Hybrid,1200,Excellent,Full Service Record,Minor Accident,Silver,1,160820382,3296817
Honda CR-V,Honda,2020,69422,Jakarta Barat,Automatic,Petrol,1000,Good,Partial Service Record,Never,White,1,178036708,3649752
Mazda CX-5,Mazda,2020,72365,Surabaya,Automatic,Petrol,1800,Good,Full Service Record,Minor Accident,Red,1,257090273,5270350
Suzuki Karimun,Suzuki,2022,44508,Bandung,Manual,Hybrid,1300,Excellent,Partial Service Record,Never,Red,1,181271574,3716067
Honda Brio,Honda,2017,110412,Medan,Automatic,Hybrid,2400,Excellent,Unknown,Never,Blue,1,206209352,4227291
Toyota Innova,Toyota,2021,72680,Semarang,Automatic,Hybrid,2400,Good,Full Service Record,Never,Silver,1,266321839,5459597
Nissan Livina,Nissan,2022,59981,Tangerang,Automatic,Petrol,1500,Fair,Partial Service Record,Minor Accident,Black,1,147829822,3030511
Honda Brio,Honda,2023,19828,Bandung,Automatic,Petrol,1300,Good,Partial Service Record,Never,Gray,2,205187521,4206344
Daihatsu Terios,Daihatsu,2011,207425,Padang,Automatic,Petrol,1800,Good,Partial Service Record,Never,Black,2,70000000,1435000
Mitsubishi Xpander,Mitsubishi,2012,148289,Makassar,Automatic,Petrol,1300,Good,Unknown,Minor Accident,Red,2,135049939,2768523
Toyota Calya,Toyota,2020,73426,Tangerang,Automatic,Petrol,2000,Good,Partial Service Record,Never,Blue,3,198815063,4075708
Suzuki Ertiga,Suzuki,2023,31060,Bogor,Manual,Petrol,1300,Good,Full Service Record,Never,White,1,141673377,2904304
Toyota Innova,Toyota,2022,29118,Bogor,Automatic,Petrol,2000,Good,Unknown,Unknown,Silver,1,222523925,4561740
Daihatsu Ayla,Daihatsu,2021,58647,Medan,Manual,Petrol,1200,Good,Partial Service Record,Never,White,1,104177047,2135629
Nissan X-Trail,Nissan,2014,130665,Medan,Automatic,Petrol,2400,Fair,Partial Service Record,Never,White,3,88165601,1807394
Mitsubishi Xpander,Mitsubishi,2023,37312,Pekanbaru,Manual,Petrol,1200,Fair,Full Service Record,Never,Black,1,210909032,4323635
Hyundai Creta,Hyundai,2023,43255,Jakarta Utara,Automatic,Petrol,1300,Fair,Full Service Record,Never,Red,1,223350124,4578677
Hyundai Ioniq,Hyundai,2022,74494,Pekanbaru,Manual,Petrol,1000,Good,Full Service Record,Never,White,1,201822986,4137371
Mitsubishi Pajero,Mitsubishi,2022,53532,Depok,Manual,Petrol,1800,Excellent,Full Service Record,Never,Black,1,228666877,4687670
Toyota Agya,Toyota,2012,156997,Jakarta Utara,Automatic,Hybrid,1000,Fair,Full Service Record,Never,Blue,1,119046744,2440458
Hyundai Creta,Hyundai,2013,148950,Bogor,Manual,Petrol,2000,Excellent,Partial Service Record,Minor Accident,Black,2,181588437,3722562
Daihatsu Ayla,Daihatsu,2012,170519,Jakarta Selatan,Manual,Petrol,2000,Good,Partial Service Record,Never,Red,1,70000000,1435000
Toyota Avanza,Toyota,2012,169682,Bogor,Automatic,Hybrid,1300,Good,Partial Service Record,Minor Accident,Gray,1,172165155,3529385
Daihatsu Sigra,Daihatsu,2017,134272,Bekasi,Automatic,Petrol,1300,Good,Full Service Record,Never,Red,2,70000000,1435000
Mitsubishi Pajero,Mitsubishi,2013,181116,Depok,Automatic,Petrol,2400,Fair,Unknown,Never,Silver,1,135213433,2771875
Toyota Calya,Toyota,2011,173539,Jakarta Barat,Manual,Petrol,2400,Good,Full Service Record,Unknown,Black,1,123868959,2539313
Daihatsu Terios,Daihatsu,2025,4000,Depok,Automatic,Petrol,1300,Good,Unknown,Never,Black,1,155965992,3197302
Suzuki Ertiga,Suzuki,2013,109973,Bekasi,Automatic,Petrol,1800,Good,Full Service Record,Never,Blue,2,70000000,1435000
Honda HR-V,Honda,2023,26119,Bekasi,Manual,Hybrid,1800,Fair,Full Service Record,Never,Blue,1,223716400,4586186
Hyundai Stargazer,Hyundai,2017,90394,Surabaya,Automatic,Electric,1300,Excellent,Partial Service Record,Minor Accident,White,1,269871803,5532371
Suzuki Ertiga,Suzuki,2025,5613,Jakarta Utara,Automatic,Hybrid,1500,Excellent,Full Service Record,Never,Silver,1,228864682,4691725
Daihatsu Xenia,Daihatsu,2020,79048,Bogor,Automatic,Petrol,2400,Excellent,Full Service Record,Never,Silver,2,166887237,3421188
Nissan Livina,Nissan,2012,171189,Bogor,Automatic,Petrol,1800,Fair,Partial Service Record,Unknown,Black,1,74575290,1528793
Mazda CX-5,Mazda,2019,83460,Pekanbaru,Automatic,Petrol,1000,Excellent,Unknown,Unknown,Silver,1,275274282,5643122
Mitsubishi Outlander,Mitsubishi,2018,99592,Jakarta Utara,Manual,Diesel,1500,Good,Unknown,Never,Blue,2,214564289,4398567
Honda Brio,Honda,2014,141729,Depok,Automatic,Hybrid,1300,Excellent,Full Service Record,Never,Black,3,162361380,3328408
Suzuki XL7,Suzuki,2024,27546,Jakarta Selatan,Automatic,Petrol,1200,Fair,Unknown,Never,White,1,140477856,2879796
Honda Jazz,Honda,2021,4000,Tangerang,Automatic,Petrol,2000,Excellent,Full Service Record,Unknown,Silver,1,225570219,4624189
Nissan X-Trail,Nissan,2020,67152,Padang,Manual,Petrol,1500,Good,Partial Service Record,Never,Black,1,141270260,2896040
Hyundai Ioniq,Hyundai,2022,46004,Jakarta Selatan,Manual,Electric,1000,Good,Full Service Record,Never,White,1,258558703,5300453
Mazda CX-5,Mazda,2015,125857,Bogor,Manual,Petrol,1500,Good,Partial Service Record,Never,Gray,1,239064393,4900820
Honda Mobilio,Honda,2015,128076,Padang,Automatic,Hybrid,1800,Excellent,Full Service Record,Minor Accident,Gray,1,172270688,3531549
Daihatsu Ayla,Daihatsu,2012,180659,Bekasi,Manual,Petrol,2000,Good,Partial Service Record,Never,Gray,1,70000000,1435000
Toyota Rush,Toyota,2012,157234,Surabaya,Automatic,Hybrid,1200,Good,Full Service Record,Never,Silver,3,148296232,3040072
