car_name,brand,year,mileage_km,location,transmission,fuel_type,engine_size_cc,condition,service_history,accident_history,color,owner_count,price_rp,instalment_rp_monthly
Nissan X-Trail,Nissan,2013,163432,Bogor,Manual,Petrol,1000,Good,Full Service Record,Never,Black,1,70000000,1435000
Hyundai Creta,Hyundai,2019,101617,Semarang,Automatic,Electric,1000,Fair,Unknown,Minor Accident,Gray,2,245000000,5022500
Hyundai Ioniq,Hyundai,2015,172286,Jakarta Selatan,Automatic,Petrol,1500,Excellent,Unknown,Never,Blue,2,168000000,3444000
Daihatsu Xenia,Daihatsu,2023,12706,Tangerang,Automatic,Petrol,2000,Good,Partial Service Record,Never,Blue,1,158000000,3239000
Toyota Rush,Toyota,2013,137301,Semarang,Manual,Hybrid,2000,Good,Full Service Record,Unknown,Gray,1,162000000,3321000
Hyundai Stargazer,Hyundai,2022,79386,Tangerang,Manual,Electric,1300,Good,Partial Service Record,Never,Silver,1,278000000,5699000
Mazda Mazda3,Mazda,2023,21634,Semarang,Automatic,Petrol,2000,Good,Full Service Record,Never,Blue,1,298000000,6109000
Toyota Fortuner,Toyota,2021,60534,Jakarta Selatan,Automatic,Diesel,1300,Good,Full Service Record,Minor Accident,Black,2,220000000,4510000
Mazda Mazda3,Mazda,2017,127247,Jakarta Barat,Automatic,Petrol,1500,Good,Full Service Record,Never,Blue,1,238000000,4879000
Nissan March,Nissan,2017,124032,Depok,Manual,Petrol,1300,Good,Full Service Record,Unknown,Gray,1,107000000,2193500
Hyundai Stargazer,Hyundai,2022,79587,Jakarta Barat,Manual,Petrol,1000,Fair,Full Service Record,Minor Accident,Blue,3,188000000,3854000
Nissan March,Nissan,2013,182921,Medan,Manual,Petrol,1500,Good,Full Service Record,Never,Blue,1,95000000,1947500
Mazda Mazda2,Mazda,2014,163249,Pekanbaru,Automatic,Petrol,2400,Good,Full Service Record,Never,Gray,2,220000000,4510000
Daihatsu Xenia,Daihatsu,2018,82091,Padang,Automatic,Petrol,1300,Good,Unknown,Never,Silver,1,104000000,2132000
Mazda CX-5,Mazda,2025,26307,Pekanbaru,Automatic,Petrol,2400,Excellent,Partial Service Record,Never,Black,2,335000000,6867500
Mazda Mazda3,Mazda,2020,77656,Tangerang,Manual,Petrol,1200,Excellent,Unknown,Never,Blue,1,270000000,5535000
Honda CR-V,Honda,2018,72127,Depok,Automatic,Petrol,1200,Excellent,Full Service Record,Unknown,Silver,2,175000000,3587500
Mitsubishi Outlander,Mitsubishi,2014,169511,Jakarta Utara,Automatic,Diesel,1200,Excellent,Partial Service Record,Never,White,2,172000000,3526000
Daihatsu Terios,Daihatsu,2020,86530,Tangerang,Automatic,Petrol,1200,Excellent,Full Service Record,Never,Gray,1,113000000,2316500
Toyota Yaris,Toyota,2021,60818,Jakarta Selatan,Manual,Diesel,1000,Fair,Full Service Record,Never,White,1,178000000,3649000
Mazda Mazda2,Mazda,2017,103804,Medan,Automatic,Petrol,1800,Fair,Full Service Record,Minor Accident,Gray,1,235000000,4817500
Suzuki XL7,Suzuki,2019,62430,Bogor,Manual,Petrol,1500,Excellent,Partial Service Record,Never,Blue,2,122000000,2501000
Suzuki Baleno,Suzuki,2025,15591,Jakarta Selatan,Automatic,Petrol,2400,Good,Full Service Record,Never,White,1,190000000,3895000
Honda Mobilio,Honda,2019,92431,Jakarta Selatan,Manual,Petrol,1500,Excellent,Full Service Record,Never,Black,1,178000000,3649000
Daihatsu Terios,Daihatsu,2016,105039,Surabaya,Manual,Petrol,2400,Good,Partial Service Record,Unknown,Silver,1,70000000,1435000
Mitsubishi Pajero,Mitsubishi,2020,92919,Semarang,Automatic,Petrol,1000,Good,Unknown,Never,White,1,212000000,4346000
Nissan X-Trail,Nissan,2022,28250,Tangerang,Automatic,Petrol,1200,Good,Full Service Record,Never,Red,1,172000000,3526000
Hyundai Ioniq,Hyundai,2021,21784,Surabaya,Manual,Electric,1200,Excellent,Full Service Record,Never,Gray,2,285000000,5842500
Toyota Calya,Toyota,2018,114715,Jakarta Utara,Automatic,Petrol,2000,Excellent,Partial Service Record,Never,White,1,192000000,3936000
Suzuki XL7,Suzuki,2013,148739,Jakarta Barat,Automatic,Hybrid,2400,Good,Partial Service Record,Never,Blue,1,111000000,2275500
Suzuki Baleno,Suzuki,2021,57731,Jakarta Selatan,Manual,Hybrid,1000,Excellent,Unknown,Never,Blue,1,165000000,3382500
Suzuki XL7,Suzuki,2018,80924,Bogor,Automatic,Petrol,1200,Good,Unknown,Minor Accident,Silver,1,100000000,2050000
Toyota Calya,Toyota,2012,139092,Semarang,Manual,Hybrid,1800,Good,Full Service Record,Unknown,Silver,2,146000000,2993000
Suzuki XL7,Suzuki,2024,46594,Jakarta Utara,Manual,Petrol,2000,Good,Unknown,Never,Red,1,162000000,3321000
Suzuki XL7,Suzuki,2012,155600,Jakarta Selatan,Automatic,Petrol,2000,Fair,Full Service Record,Never,Black,1,70000000,1435000
Hyundai Ioniq,Hyundai,2023,65897,Depok,Automatic,Petrol,2000,Excellent,Partial Service Record,Unknown,Silver,1,250000000,5125000
Mitsubishi Xpander,Mitsubishi,2020,86531,Semarang,Automatic,Diesel,1500,Fair,Partial Service Record,Never,Gray,1,205000000,4202500
Daihatsu Xenia,Daihatsu,2021,54334,Padang,Automatic,Petrol,1000,Excellent,Full Service Record,Never,White,1,118000000,2419000
Daihatsu Terios,Daihatsu,2014,124453,Bogor,Automatic,Petrol,1800,Excellent,Full Service Record,Minor Accident,Blue,1,79000000,1619500
Daihatsu Xenia,Daihatsu,2011,166815,Makassar,Automatic,Petrol,1300,Excellent,Partial Service Record,Unknown,Red,1,70000000,1435000
Daihatsu Sigra,Daihatsu,2013,134174,Jakarta Selatan,Automatic,Petrol,1300,Excellent,Full Service Record,Never,Blue,1,95000000,1947500
Toyota Rush,Toyota,2012,205568,Jakarta Barat,Manual,Petrol,1000,Excellent,Full Service Record,Never,White,1,112000000,2296000
Suzuki Baleno,Suzuki,2016,122959,Jakarta Barat,Automatic,Petrol,2000,Good,Full Service Record,Unknown,Red,1,126000000,2583000
Mazda CX-5,Mazda,2021,80703,Jakarta Utara,Automatic,Petrol,2400,Excellent,Partial Service Record,Minor Accident,White,1,300000000,6150000
Honda CR-V,Honda,2023,13187,Jakarta Selatan,Automatic,Petrol,1000,Excellent,Full Service Record,Never,Black,2,218000000,4469000
Honda City,Honda,2022,51258,Jakarta Selatan,Automatic,Hybrid,1000,Excellent,Unknown,Unknown,White,2,242000000,4961000
Honda Brio,Honda,2024,45201,Surabaya,Manual,Hybrid,1500,Excellent,Partial Service Record,Minor Accident,Red,2,245000000,5022500
Daihatsu Xenia,Daihatsu,2022,41969,Jakarta Selatan,Automatic,Petrol,1800,Good,Partial Service Record,Unknown,Black,2,128000000,2624000
Honda CR-V,Honda,2024,42560,Tangerang,Automatic,Hybrid,1300,Good,Full Service Record,Never,Gray,2,252000000,5166000
Mitsubishi Outlander,Mitsubishi,2022,28477,Depok,Automatic,Diesel,1300,Good,Partial Service Record,Never,White,2,262000000,5371000
Nissan X-Trail,Nissan,2012,143457,Tangerang,Automatic,Petrol,2400,Good,Full Service Record,Never,Red,1,105000000,2152500
Toyota Calya,Toyota,2019,90829,Jakarta Utara,Manual,Petrol,2000,Excellent,Full Service Record,Never,Gray,3,188000000,3854000
Suzuki Ertiga,Suzuki,2012,161174,Makassar,Automatic,Hybrid,2400,Excellent,Partial Service Record,Never,White,1,104000000,2132000
Toyota Yaris,Toyota,2017,119556,Bogor,Automatic,Hybrid,2400,Excellent,Full Service Record,Never,Red,2,228000000,4674000
Suzuki XL7,Suzuki,2019,48398,Pekanbaru,Automatic,Petrol,1300,Excellent,Full Service Record,Minor Accident,Gray,1,131000000,2685500
Daihatsu Ayla,Daihatsu,2015,144820,Depok,Automatic,Petrol,1000,Good,Full Service Record,Never,Black,1,70000000,1435000
Suzuki Ertiga,Suzuki,2024,70769,Padang,Manual,Petrol,1300,Fair,Unknown,Never,Red,1,140000000,2870000
Daihatsu Ayla,Daihatsu,2024,23556,Bogor,Automatic,Petrol,1000,Excellent,Unknown,Unknown,Red,2,148000000,3034000
Mazda Mazda2,Mazda,2021,60614,Semarang,Automatic,Petrol,2400,Excellent,Partial Service Record,Never,Blue,1,295000000,6047500
Hyundai Ioniq,Hyundai,2021,63231,Surabaya,Automatic,Petrol,1800,Good,Unknown,Minor Accident,Gray,1,228000000,4674000
Mazda Mazda3,Mazda,2018,62484,Surabaya,Automatic,Petrol,2400,Good,Partial Service Record,Never,Silver,2,248000000,5084000
Toyota Agya,Toyota,2015,139670,Padang,Automatic,Diesel,2000,Excellent,Partial Service Record,Unknown,Gray,2,188000000,3854000
Hyundai Creta,Hyundai,2020,43102,Makassar,Automatic,Electric,1500,Excellent,Full Service Record,Never,Blue,1,285000000,5842500
Suzuki XL7,Suzuki,2015,124301,Bekasi,Automatic,Petrol,2400,Good,Partial Service Record,Never,Black,1,142000000,2911000
Hyundai Ioniq,Hyundai,2020,94371,Bekasi,Automatic,Electric,1800,Fair,Unknown,Never,Blue,3,240000000,4920000
Honda CR-V,Honda,2014,130766,Surabaya,Automatic,Petrol,1000,Fair,Partial Service Record,Unknown,Black,3,126000000,2583000
Mitsubishi Outlander,Mitsubishi,2013,165022,Jakarta Selatan,Manual,Diesel,1200,Fair,Full Service Record,Never,Black,1,144000000,2952000
Nissan March,Nissan,2012,186229,Jakarta Utara,Automatic,Petrol,1000,Excellent,Unknown,Never,Red,3,77000000,1578500
Mitsubishi Pajero,Mitsubishi,2025,17017,Jakarta Selatan,Automatic,Diesel,1500,Good,Unknown,Never,Red,2,278000000,5699000
Daihatsu Terios,Daihatsu,2017,83322,Surabaya,Automatic,Petrol,1000,Excellent,Full Service Record,Never,Blue,2,95000000,1947500
Nissan March,Nissan,2016,114015,Makassar,Automatic,Petrol,2000,Excellent,Unknown,Never,Silver,2,162000000,3321000
Nissan March,Nissan,2022,83269,Surabaya,Automatic,Petrol,1500,Good,Partial Service Record,Never,Silver,2,172000000,3526000
Hyundai Ioniq,Hyundai,2016,83549,Jakarta Barat,Automatic,Petrol,1500,Good,Unknown,Never,Red,2,170000000,3485000
Mitsubishi Pajero,Mitsubishi,2012,163035,Jakarta Barat,Manual,Diesel,1500,Excellent,Full Service Record,Never,Blue,2,155000000,3177500
Hyundai Creta,Hyundai,2025,4000,Jakarta Utara,Automatic,Petrol,1500,Good,Full Service Record,Unknown,White,3,265000000,5432500
Daihatsu Ayla,Daihatsu,2021,62173,Surabaya,Automatic,Petrol,1800,Good,Full Service Record,Minor Accident,White,1,123000000,2521500
Daihatsu Terios,Daihatsu,2011,193467,Makassar,Manual,Petrol,1200,Good,Full Service Record,Never,Red,2,70000000,1435000
Honda CR-V,Honda,2013,184956,Pekanbaru,Automatic,Hybrid,2400,Good,Full Service Record,Never,Blue,1,192000000,3936000
Suzuki XL7,Suzuki,2019,79135,Jakarta Utara,Automatic,Petrol,2400,Fair,Full Service Record,Minor Accident,Gray,2,116000000,2378000
Hyundai Stargazer,Hyundai,2022,62622,Makassar,Automatic,Electric,1000,Excellent,Full Service Record,Never,Black,1,292000000,5986000
Honda Mobilio,Honda,2019,92995,Makassar,Manual,Hybrid,1300,Good,Unknown,Never,Black,2,202000000,4141000
Hyundai Ioniq,Hyundai,2018,104538,Bandung,Automatic,Electric,1300,Fair,Unknown,Never,Silver,1,212000000,4346000
Nissan X-Trail,Nissan,2014,133849,Depok,Automatic,Petrol,1200,Good,Partial Service Record,Unknown,Blue,2,114000000,2337000
Nissan X-Trail,Nissan,2011,162048,Makassar,Automatic,Petrol,1300,Excellent,Full Service Record,Never,White,1,70000000,1435000
Daihatsu Ayla,Daihatsu,2016,100199,Padang,Automatic,Petrol,1300,Good,Unknown,Never,White,1,75000000,1537500
Mitsubishi Xpander,Mitsubishi,2023,22384,Semarang,Automatic,Petrol,1300,Excellent,Full Service Record,Minor Accident,White,1,275000000,5637500
Honda CR-V,Honda,2017,113790,Surabaya,Manual,Petrol,1000,Fair,Full Service Record,Never,Red,1,118000000,2419000
Nissan Livina,Nissan,2020,85697,Surabaya,Automatic,Petrol,1800,Excellent,Full Service Record,Never,Silver,1,178000000,3649000
Hyundai Creta,Hyundai,2023,41822,Tangerang,Manual,Electric,1800,Excellent,Full Service Record,Never,Red,3,315000000,6457500
Nissan Livina,Nissan,2024,14118,Jakarta Selatan,Automatic,Petrol,2000,Excellent,Full Service Record,Never,Gray,2,230000000,4715000
Honda Jazz,Honda,2014,176507,Pekanbaru,Manual,Petrol,1500,Excellent,Full Service Record,Unknown,Black,3,152000000,3116000
Daihatsu Xenia,Daihatsu,2021,87339,Makassar,Manual,Petrol,2000,Good,Unknown,Unknown,Gray,1,108000000,2214000
Honda City,Honda,2020,65627,Tangerang,Automatic,Hybrid,2400,Excellent,Full Service Record,Never,Red,2,245000000,5022500
Mazda Mazda2,Mazda,2011,165178,Jakarta Selatan,Automatic,Petrol,2000,Good,Full Service Record,Never,Silver,2,182000000,3731000
Hyundai Ioniq,Hyundai,2011,182343,Medan,Automatic,Electric,2400,Excellent,Full Service Record,Never,White,2,222000000,4551000
Nissan March,Nissan,2020,94811,Bandung,Automatic,Petrol,1500,Good,Partial Service Record,Unknown,Silver,1,158000000,3239000
Hyundai Creta,Hyundai,2023,41989,Makassar,Automatic,Petrol,1800,Good,Partial Service Record,Never,Black,1,240000000,4920000
Mitsubishi Xpander,Mitsubishi,2015,142017,Jakarta Barat,Automatic,Petrol,1800,Excellent,Full Service Record,Never,Silver,3,212000000,4346000
Nissan X-Trail,Nissan,2024,20182,Medan,Automatic,Petrol,1000,Good,Partial Service Record,Never,Silver,2,178000000,3649000
Suzuki Karimun,Suzuki,2018,104212,Semarang,Manual,Petrol,1300,Fair,Full Service Record,Never,Red,1,77000000,1578500
Nissan X-Trail,Nissan,2016,147801,Medan,Manual,Petrol,1300,Excellent,Full Service Record,Never,Silver,2,117000000,2398500
Mitsubishi Xpander,Mitsubishi,2016,115685,Depok,Manual,Petrol,1500,Fair,Full Service Record,Never,Gray,1,165000000,3382500
Hyundai Creta,Hyundai,2012,170579,Bogor,Manual,Electric,1800,Excellent,Full Service Record,Minor Accident,Gray,1,188000000,3854000
Hyundai Ioniq,Hyundai,2016,124568,Jakarta Selatan,Automatic,Electric,1000,Good,Partial Service Record,Never,Gray,1,220000000,4510000
Mazda Mazda3,Mazda,2020,77107,Bandung,Automatic,Petrol,1500,Excellent,Partial Service Record,Never,Black,1,260000000,5330000
Suzuki XL7,Suzuki,2019,58586,Padang,Automatic,Petrol,1200,Good,Full Service Record,Never,Black,3,119000000,2439500
Honda CR-V,Honda,2018,62216,Bogor,Automatic,Petrol,1000,Excellent,Partial Service Record,Minor Accident,Blue,2,182000000,3731000
Nissan X-Trail,Nissan,2015,113646,Pekanbaru,Automatic,Petrol,2400,Excellent,Full Service Record,Minor Accident,Gray,2,134000000,2747000
Honda CR-V,Honda,2012,171022,Bekasi,Automatic,Petrol,1800,Excellent,Unknown,Never,Blue,1,105000000,2152500
Mitsubishi Pajero,Mitsubishi,2017,117969,Padang,Automatic,Petrol,1800,Good,Partial Service Record,Never,Silver,1,210000000,4305000
Nissan March,Nissan,2025,4000,Tangerang,Automatic,Petrol,1300,Good,Full Service Record,Never,Gray,1,190000000,3895000
Suzuki XL7,Suzuki,2018,120790,Pekanbaru,Automatic,Hybrid,1200,Excellent,Full Service Record,Minor Accident,Silver,1,160000000,3280000
Honda CR-V,Honda,2020,69422,Jakarta Barat,Automatic,Petrol,1000,Good,Partial Service Record,Never,White,1,178000000,3649000
Mazda CX-5,Mazda,2020,72365,Surabaya,Automatic,Petrol,1800,Good,Full Service Record,Minor Accident,Red,1,258000000,5289000
Suzuki Karimun,Suzuki,2022,44508,Bandung,Manual,Hybrid,1300,Excellent,Partial Service Record,Never,Red,1,182000000,3731000
Honda Brio,Honda,2017,110412,Medan,Automatic,Hybrid,2400,Excellent,Unknown,Never,Blue,1,205000000,4202500
Toyota Innova,Toyota,2021,72680,Semarang,Automatic,Hybrid,2400,Good,Full Service Record,Never,Silver,1,268000000,5494000
Nissan Livina,Nissan,2022,59981,Tangerang,Automatic,Petrol,1500,Fair,Partial Service Record,Minor Accident,Black,1,148000000,3034000
Honda Brio,Honda,2023,19828,Bandung,Automatic,Petrol,1300,Good,Partial Service Record,Never,Gray,2,205000000,4202500
Daihatsu Terios,Daihatsu,2011,207425,Padang,Automatic,Petrol,1800,Good,Partial Service Record,Never,Black,2,70000000,1435000
Mitsubishi Xpander,Mitsubishi,2012,148289,Makassar,Automatic,Petrol,1300,Good,Unknown,Minor Accident,Red,2,135000000,2767500
Toyota Calya,Toyota,2020,73426,Tangerang,Automatic,Petrol,2000,Good,Partial Service Record,Never,Blue,3,200000000,4100000
Suzuki Ertiga,Suzuki,2023,31060,Bogor,Manual,Petrol,1300,Good,Full Service Record,Never,White,1,142000000,2911000
Toyota Innova,Toyota,2022,29118,Bogor,Automatic,Petrol,2000,Good,Unknown,Unknown,Silver,1,222000000,4551000
Daihatsu Ayla,Daihatsu,2021,58647,Medan,Manual,Petrol,1200,Good,Partial Service Record,Never,White,1,104000000,2132000
Nissan X-Trail,Nissan,2014,130665,Medan,Automatic,Petrol,2400,Fair,Partial Service Record,Never,White,3,88000000,1804000
Mitsubishi Xpander,Mitsubishi,2023,37312,Pekanbaru,Manual,Petrol,1200,Fair,Full Service Record,Never,Black,1,210000000,4305000
Hyundai Creta,Hyundai,2023,43255,Jakarta Utara,Automatic,Petrol,1300,Fair,Full Service Record,Never,Red,1,222000000,4551000
Hyundai Ioniq,Hyundai,2022,74494,Pekanbaru,Manual,Petrol,1000,Good,Full Service Record,Never,White,1,202000000,4141000
Mitsubishi Pajero,Mitsubishi,2022,53532,Depok,Manual,Petrol,1800,Excellent,Full Service Record,Never,Black,1,228000000,4674000
Toyota Agya,Toyota,2012,156997,Jakarta Utara,Automatic,Hybrid,1000,Fair,Full Service Record,Never,Blue,1,119000000,2439500
Hyundai Creta,Hyundai,2013,148950,Bogor,Manual,Petrol,2000,Excellent,Partial Service Record,Minor Accident,Black,2,182000000,3731000
Daihatsu Ayla,Daihatsu,2012,170519,Jakarta Selatan,Manual,Petrol,2000,Good,Partial Service Record,Never,Red,1,70000000,1435000
Toyota Avanza,Toyota,2012,169682,Bogor,Automatic,Hybrid,1300,Good,Partial Service Record,Minor Accident,Gray,1,172000000,3526000
Daihatsu Sigra,Daihatsu,2017,134272,Bekasi,Automatic,Petrol,1300,Good,Full Service Record,Never,Red,2,70000000,1435000
Mitsubishi Pajero,Mitsubishi,2013,181116,Depok,Automatic,Petrol,2400,Fair,Unknown,Never,Silver,1,135000000,2767500
Toyota Calya,Toyota,2011,173539,Jakarta Barat,Manual,Petrol,2400,Good,Full Service Record,Unknown,Black,1,124000000,2542000
Daihatsu Terios,Daihatsu,2025,4000,Depok,Automatic,Petrol,1300,Good,Unknown,Never,Black,1,155000000,3177500
Suzuki Ertiga,Suzuki,2013,109973,Bekasi,Automatic,Petrol,1800,Good,Full Service Record,Never,Blue,2,70000000,1435000
Honda HR-V,Honda,2023,26119,Bekasi,Manual,Hybrid,1800,Fair,Full Service Record,Never,Blue,1,222000000,4551000
Hyundai Stargazer,Hyundai,2017,90394,Surabaya,Automatic,Electric,1300,Excellent,Partial Service Record,Minor Accident,White,1,270000000,5535000
Suzuki Ertiga,Suzuki,2025,5613,Jakarta Utara,Automatic,Hybrid,1500,Excellent,Full Service Record,Never,Silver,1,230000000,4715000
Daihatsu Xenia,Daihatsu,2020,79048,Bogor,Automatic,Petrol,2400,Excellent,Full Service Record,Never,Silver,2,168000000,3444000
Nissan Livina,Nissan,2012,171189,Bogor,Automatic,Petrol,1800,Fair,Partial Service Record,Unknown,Black,1,75000000,1537500
Mazda CX-5,Mazda,2019,83460,Pekanbaru,Automatic,Petrol,1000,Excellent,Unknown,Unknown,Silver,1,275000000,5637500
Mitsubishi Outlander,Mitsubishi,2018,99592,Jakarta Utara,Manual,Diesel,1500,Good,Unknown,Never,Blue,2,215000000,4407500
Honda Brio,Honda,2014,141729,Depok,Automatic,Hybrid,1300,Excellent,Full Service Record,Never,Black,3,162000000,3321000
Suzuki XL7,Suzuki,2024,27546,Jakarta Selatan,Automatic,Petrol,1200,Fair,Unknown,Never,White,1,140000000,2870000
Honda Jazz,Honda,2021,4000,Tangerang,Automatic,Petrol,2000,Excellent,Full Service Record,Unknown,Silver,1,225000000,4612500
Nissan X-Trail,Nissan,2020,67152,Padang,Manual,Petrol,1500,Good,Partial Service Record,Never,Black,1,141000000,2890500
Hyundai Ioniq,Hyundai,2022,46004,Jakarta Selatan,Manual,Electric,1000,Good,Full Service Record,Never,White,1,258000000,5289000
Mazda CX-5,Mazda,2015,125857,Bogor,Manual,Petrol,1500,Good,Partial Service Record,Never,Gray,1,240000000,4920000
Honda Mobilio,Honda,2015,128076,Padang,Automatic,Hybrid,1800,Excellent,Full Service Record,Minor Accident,Gray,1,172000000,3526000
Daihatsu Ayla,Daihatsu,2012,180659,Bekasi,Manual,Petrol,2000,Good,Partial Service Record,Never,Gray,1,70000000,1435000
Toyota Rush,Toyota,2012,157234,Surabaya,Automatic,Hybrid,1200,Good,Full Service Record,Never,Silver,3,148000000,3034000
